LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C513471,SS510,Slkor(SLKORMICRO Elec.),10,SMA(DO-214AC),100V 850mV@5A 5A SMA(DO-214AC) Schottky Diodes ROHS,YES,20,20\20,0.0338,0.68
C136648,LMR16030SDDAR,Texas Instruments,10,SO-8-EP,Step-down type Adjustable 800mV~50V 3A 4.3V~60V SO-8-EP DC-DC Converters ROHS,YES,5,1\1,0.8528,4.26
C433045,SPM6550T-4R7M-HZ,TDK,BUCK_CONVERTER,"SMD,7.1x6.5mm","5.8A 4.7uH ±20% 4.3A SMD,7.1x6.5mm Power Inductors ROHS",YES,6,1\1,0.4535,2.72
C5356635,GPS01-TD,G-NiceRF,GLCD,"SMD,9.9x10.1mm","SMD,9.9x10.1mm GNSS Modules ROHS",YES,9,1\1,5.6669,51.00
C130253,ABS07-32.768KHZ-T,Abracon LLC,???,SMD3215-2P,32.768kHz Surface Mount Crystal 12.5pF ±20ppm SMD3215-2P Crystals ROHS,YES,10,1\1,0.401,4.01
C2935953,DW127R-22-10-23,DEALON,,"Plugin,P=1.27mm","1A Direct Insert Policy 1mm 10P 3mm 2.3mm 1.27mm Double Row 1.27mm 2x5P Plugin,P=1.27mm Pin Headers ROHS",YES,100,10\10,0.0423,4.23
C2687116,USBLC6-2SC6,"UMW(Youtai Semiconductor Co., Ltd.)",GC_CONTROLLER,SOT-23-6,15V 6V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,YES,100,20\20,0.0277,2.77
C410527,AS0BC21-S40BE-7H,FOXCONN,REMOTE_START,"SMD,P=0.5mm,Surface Mount，Right Angle","SMD,P=0.5mm,Surface Mount，Right Angle Hard Disk Connector (SAS/SATA/M.2) ROHS",YES,10,1\1,0.4391,4.39
C107110,CC0805JRNPO9BN150,YAGEO,FEEDER,0805,50V 15pF NP0 ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,100\100,0.0064,3.20
C2918489,CS2012X5R475K250NRE,Samwha Capacitor,FEEDER,0805,25V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,50\50,0.007,3.50
C5189822,CS2012X7R106M100NRE,Samwha Capacitor,FEEDER,0805,10V 10uF X7R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,50\50,0.0048,2.40
C72478,RVT1V101M0607,ROQANG,FEEDER,"SMD,D6.3xL7.7mm","100uF 35V 69mA@120Hz ±20% SMD,D6.3xL7.7mm Aluminum Electrolytic Capacitors - SMD ROHS",YES,100,20\20,0.0307,3.07
C310845,VT1V471M1010,ROQANG,,"SMD,D10xL10.2mm","470uF 35V 286mA@120Hz ±20% SMD,D10xL10.2mm Aluminum Electrolytic Capacitors - SMD ROHS",YES,100,5\5,0.0814,8.14
C1743,0805B471K500NT,FH (Guangdong Fenghua Advanced Tech),FEEDER,0805,50V 470pF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.0038,3.80
C2930231,FRC0805J103TS,FOJAN,FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 10kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0008,4.00
C119076,RS-05K471JT,FH (Guangdong Fenghua Advanced Tech),FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 470Ω 0805 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0013,6.50
C25293,0805W8J0200T5E,UNI-ROYAL(Uniroyal Elec),FEEDER,0805,125mW Thick Film Resistors 150V ±5% ±200ppm/℃ 20Ω 0805 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.001,5.00
C17513,0805W8F1001T5E,UNI-ROYAL(Uniroyal Elec),FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,10000,100\100,0.001,10.00
C2933537,FRC0805J221 TS,FOJAN,FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 220Ω 0805 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0008,4.00
C467145,SMNR6045-221MT,SXN(Shun Xiang Nuo Elec),FEEDER,"SMD,6x6mm","700mA 220uH ±20% 700mA SMD,6x6mm Power Inductors ROHS",YES,50,5\5,0.074,3.70
C894646,SZMMSZ4684T1G,onsemi,FEEDER,SOD-123,Independent Type 3.13V~3.47V 500mW 3.3V SOD-123 Zener Diodes ROHS,YES,50,5\5,0.0776,3.88
C496820,MHS110FRGBCT,MEIHUA,FEEDER,"SMD,1.5x3.2mm","SMD,1.5x3.2mm RGB LEDs ROHS",YES,50,5\5,0.0644,3.22
C521963,SM712,TECH PUBLIC,FEEDER,SOT-23,7A 150W Bidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS,YES,50,10\10,0.0412,2.06
C458749,LTST-C19HE1WT,Lite-On,FEEDER,0606,0606 RGB LEDs ROHS,YES,100,10\10,0.0527,5.27
C5451628,1N5819W,HXY MOSFET,FEEDER,SOD-123,40V Independent Type 350mA 600mV@200mA SOD-123 Schottky Diodes ROHS,YES,1000,100\100,0.0053,5.30
C39159,DRV8837DSGR,Texas Instruments,FEEDER,WSON-8-EP(2x2),WSON-8-EP(2x2) Brushed DC Motor Drivers ROHS,YES,50,5\5,0.1099,5.50
C92102,AZ1117CH-3.3TRG1,Diodes Incorporated,FEEDER,SOT-223-3,"70dB@(120Hz) 800mA Fixed 3.3V Positive electrode 15V SOT-223-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,50,5\5,0.0487,2.44
C71111,MC34063AG-S08-R,UTC(Unisonic Tech),FEEDER,SOIC-8,1.25V~30V 3V~40V 1.5A SOIC-8 DC-DC Converters ROHS,YES,50,5\5,0.079,3.95
C336020,MAX3078EM/TR,HGSEMI,FEEDER,SOP-8,Transceiver 500Kbps SOP-8 RS-485 / RS-422 ICs ROHS,YES,30,1\1,0.5426,16.28
C648984,7B008000F01,HD,FEEDER,SMD3225-4P,8MHz Surface Mount Crystal 8pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS,YES,50,5\5,0.1272,6.36
C319392,1TS003B-1400-3500A-CT,HYP (Hongyuan Precision),FEEDER,"SMD,1.8x4.6mm","None 不带支架 50mA 4.6mm 50,000 times 140gf 12V 1.82mm 3.5mm Rectangle button Horizontal attachment SPST SMD,1.8x4.6mm Tactile Switches ROHS",YES,200,10\10,0.0327,6.54
C7450338,1N5408,LangJie,GC_CONTROLLER,DO-27,DO-27 Diodes - General Purpose ROHS,YES,20,10\10,0.0453,0.91
C2856812,FPC-05F-40PH20,XUNPU,GLCD,"SMD,P=0.5mm,Surface Mount，Right Angle","Flip type -25℃~+85℃ 40P Bottom Contact Horizontal attachment 0.5mm SMD,P=0.5mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",YES,10,5\5,0.1544,1.54
C2980296,ESP32-S3-WROOM-1U-N4,Espressif Systems,GLCD,"SMD,18x19.2mm","SMD,18x19.2mm WiFi Modules ROHS",YES,3,1\1,3.6607,10.98
C167511,ML414H-IV01E,Seiko,GLCD,-,-,-,3,-\-,0.4026,1.21
C18863,LMBR0530T1G,LRC,GLCD,SOD-123,30V 450mV 500mA SOD-123 Schottky Diodes ROHS,YES,60,20\20,0.0322,1.93
C3032610,CMI160808V47NKT,FH (Guangdong Fenghua Advanced Tech),GLCD,0603,47nH ±10% 0603 Inductors (SMD) ROHS,YES,500,100\100,0.0057,2.85
C531320,YFF15SC1H470MT000N,TDK,GLCD,"SMD-4P,0.5x1mm","47pF ±20% 300mΩ SMD-4P,0.5x1mm Feed Through Capacitors ROHS",YES,10,5\5,0.3564,3.56
C3017769,SCR0603J33R,VO,GLCD,0603,100mW Thick Film Resistors 75V ±5% 33Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C92823,LMK325BJ226KM-T,Taiyo Yuden,BUCK_LDO_48V,1210,10V 22uF X5R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,5\5,0.132,2.64
C1617,0603B391K500NT,FH (Guangdong Fenghua Advanced Tech),BUCK_CONVERTER,0603,50V 390pF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.0024,2.40
C22821,0603WAF1782T5E,UNI-ROYAL(Uniroyal Elec),BUCK_CONVERTER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 17.8kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,2000,100\100,0.0009,1.80
C2930078,FRC0603F2322TS,FOJAN,BUCK_CONVERTER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 23.2kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C107076,CC0603KRX7R9BB153,YAGEO,BUCK_CONVERTER,0603,50V 15nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,100\100,0.0023,4.60
C694468,C3216X7S2A335KT000N,TDK,BUCK_CONVERTER,1206,100V 3.3uF X7S ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,15,5\5,0.2878,4.32
C15742,STM32F405RGT6,STMicroelectronics,GC_CONTROLLER,LQFP-64(10x10),ARM-M4 168MHz LQFP-64(10x10) Microcontrollers (MCU/MPU/SOC) ROHS,YES,5,1\1,4.741,23.71
